index,source_id,ra_2026p10_deg,dec_2026p10_deg,ra_2026p10_hms,dec_2026p10_dms,xpix,ypix,ra_gaia2016_deg,dec_gaia2016_deg,pmra_masyr,pmdec_masyr,Gmag,BPmag,RPmag,parallax_mas,radial_velocity_kms
682,2542068551251965952,5.1881880034,-0.9953007403,00:20:45.2,-00:59:43.1,3596.844,1231.324,5.1881835095,-0.9952875112,1.50486,-4.43067,17.0063,18.0295,15.9338,2.06391,nan
683,2542183931254243968,5.9790977404,-0.6732524096,00:23:55.0,-00:40:23.7,749.823,2390.735,5.9790613435,-0.6732340929,12.18923,-6.13467,17.0087,17.5838,16.2885,0.64901,nan
684,2542209632338551424,5.9860614548,-0.4172152987,00:23:56.7,-00:25:02.0,724.671,3312.501,5.9860707844,-0.4172314013,-3.12461,5.39312,17.0101,17.6834,16.2218,0.79054,nan
685,2542031030417628800,4.9929059439,-1.3111808566,00:19:58.3,-01:18:40.3,4299.662,93.926,4.9928903531,-1.3111293218,5.22031,-17.26009,17.0110,17.7362,16.1836,1.22196,nan
686,2542209563619074816,5.9892472156,-0.4207678879,00:23:57.4,-00:25:14.8,713.203,3299.710,5.9892393263,-0.4207498092,2.64223,-6.05492,17.0168,17.4101,16.4003,0.35959,nan
687,2542166339068124800,5.4633107334,-0.8239446014,00:21:51.2,-00:49:26.2,2606.536,1848.292,5.4630261974,-0.8238916376,95.28724,-17.73871,17.0184,18.2335,15.9327,5.17640,nan
688,2542196232040578944,5.8852151824,-0.6682938144,00:23:32.5,-00:40:05.9,1087.788,2408.610,5.8852096145,-0.6683042555,1.86467,3.49695,17.0303,17.5129,16.3885,0.65870,nan
689,2542234268270838272,5.0541701747,-0.6012000264,00:20:13.0,-00:36:04.3,4079.443,2650.087,5.0542114372,-0.6011550999,-13.81893,-15.04684,17.0332,17.6365,16.2972,0.85388,nan
690,2542152973129979904,5.9721761859,-0.8931976806,00:23:53.3,-00:53:35.5,774.808,1598.915,5.9721727477,-0.8931894973,1.15140,-2.74077,17.0344,17.6362,16.3124,0.80869,nan
691,2542043533066548224,5.2532482132,-1.2757562248,00:21:00.8,-01:16:32.7,3362.575,221.642,5.2532183587,-1.2758015195,9.99644,15.17015,17.0414,nan,nan,3.85247,nan
692,2542176646989715072,5.9924237309,-0.8550623976,00:23:58.2,-00:51:18.2,701.910,1736.198,5.9923988708,-0.8550333410,8.32525,-9.73164,17.0417,17.8399,16.1726,1.41662,nan
693,2542069616403862784,5.2900415250,-0.9580073202,00:21:09.6,-00:57:28.8,3230.218,1365.623,5.2900269797,-0.9580067810,4.87084,-0.18060,17.0442,17.5590,16.3773,0.84255,nan
694,2542115452294822016,5.1567661056,-0.9861920446,00:20:37.6,-00:59:10.3,3709.956,1264.103,5.1567195862,-0.9861539674,15.57799,-12.75287,17.0447,17.5771,16.2062,1.52005,nan
695,2542215507853725312,5.3708509073,-0.7225705896,00:21:29.0,-00:43:21.3,2939.378,2213.227,5.3708339264,-0.7225341878,5.68681,-12.19172,17.0553,17.3974,16.5369,0.47338,nan
696,2545254175739061760,5.0583746812,-0.2272894948,00:20:14.0,-00:13:38.2,4064.466,3996.271,5.0584567508,-0.2272039112,-27.48661,-28.66374,17.0658,17.8724,16.1887,1.39638,nan
697,2542226640408952960,5.3930370983,-0.5595100502,00:21:34.3,-00:33:34.2,2859.539,2800.254,5.3930270733,-0.5595103928,3.35744,0.11473,17.0747,17.6138,16.4291,0.54641,nan
698,2541936369338928512,5.9253768233,-1.3006812648,00:23:42.1,-01:18:02.5,943.384,131.901,5.9254001280,-1.3006512818,-7.80323,-10.04194,17.0762,17.8426,16.2335,1.19207,nan
699,2542263817645935488,5.7511079096,-0.1970510063,00:23:00.3,-00:11:49.4,1570.487,4105.171,5.7511274686,-0.1970504783,-6.55066,-0.17686,17.0768,17.8812,16.1915,1.10523,nan
700,2542145104749824896,5.7100719889,-1.0322579695,00:22:50.4,-01:01:56.1,1718.306,1098.353,5.7100466218,-1.0322167130,8.49461,-13.81766,17.0780,18.2784,15.9467,1.81141,nan
