field,source_id,RA,Dec,mag_nb,mag_bb,line_flux_erg_cm2_s,logL_Lya_erg_s,area_arcsec2,priority
j2259,266,344.4797294882448,13.73988644524594,25.366533,26.200659,1.7298547060839173e-17,42.193119591815694,24.70346217084431,3
j2259,548,344.464392837188,14.02731554291681,25.208622,27.304028,3.1897008424695136e-17,42.45885991750903,24.41108510446597,3
j2259,313,344.42265995685307,13.78549976171712,25.433504,27.52322,2.5906544478069288e-17,42.36851945326368,24.26389881754616,3
j2259,496,345.16085818697474,13.993837187946353,25.24035,26.280422,2.233455583692252e-17,42.30408728456878,24.23932858470856,3
j2259,551,344.46445034762627,14.028029372579002,25.550095,26.42233,1.504364101579685e-17,42.13246292577544,24.150050485065947,3
j2259,647,345.1394253421754,14.220494395008712,25.771198,28.621471,2.061493566909488e-17,42.26929194828853,23.917638043313573,3
j2259,189,344.97471469959174,13.673513272788936,25.419943,26.247702,1.6384395259731373e-17,42.16954038081765,23.87585216548643,3
j2259,582,344.83069885245663,14.057313633462792,25.213081,26.877262,2.913605446681981e-17,42.41954070472698,23.79303322508773,3
j2259,623,345.0484094679763,14.187743247940356,25.51439,26.8771,2.0129547401456976e-17,42.25894397460325,23.50269807973328,3
j2259,243,344.3809396301002,13.71594701084858,25.66977,28.949802,2.321124059237061e-17,42.320808317617065,23.478409242464995,3
j2259,121,344.5814222350887,13.535712465145275,25.895086,29.61324,1.9182276658000658e-17,42.23801011475632,23.185696797989102,3
j2259,295,344.9498607628399,13.76616148618154,24.876026,26.008993,3.283446204284325e-17,42.47143986964349,23.15696471629566,3
j2259,251,344.49277107806006,13.719730333254487,25.519012,26.647318,1.8118339842137096e-17,42.21322836578153,22.927908935707286,3
j2259,393,344.82453893118566,13.871386381390169,25.396332,27.149359,2.514362623543473e-17,42.35553787659832,22.8887759196391,3
j2259,142,344.4585626165674,13.560593057385905,25.493786,26.481201,1.7137802403885148e-17,42.18906509558494,22.774694934711786,3
j2259,344,344.9489015969429,13.806224027011234,26.13459,27.847042,1.2618201382890108e-17,42.05610741874823,22.65265553163241,3
j2259,539,345.12872491462844,14.017218106515562,25.135054,26.735361,3.07845432657684e-17,42.44344267898138,22.48838423762305,3
j2259,447,344.95280310571263,13.93632571996558,25.384186,27.714113,2.802976041321623e-17,42.40272935001385,22.34020514670992,3
j2259,160,345.1666992680875,13.65124456405635,25.49194,28.574192,2.706201766477615e-17,42.38747013760038,22.31492348426272,3
j2259,378,344.74535203917577,13.852875111128728,24.97171,25.817202,2.510924422594049e-17,42.354943605298274,22.104957923221384,3
j2259,651,345.1328884284271,14.225795817450969,25.48064,26.321526,1.5656417968315836e-17,42.14980237126436,22.01206367062004,3
j2259,113,344.94010150176047,13.528472584450562,26.171394,99.0,1.5372861983878194e-17,42.14186469255081,21.994243418259813,3
j2259,38,345.0521852091523,13.445406762566272,25.990416,27.336214,1.2903183588034357e-17,42.06580684091845,21.96275537567122,3
j2259,72,345.0263696370904,13.491776856943462,25.566011,27.137987,2.0536470878118773e-17,42.267635778067344,21.92397090453901,3
j2259,641,344.4960183939313,14.209972214442468,25.35959,26.40715,2.0097200637938254e-17,42.25824553266519,21.864449062224843,3
j2259,402,345.1649161662553,13.889881008762831,25.163801,26.018,2.1180211212609425e-17,42.28104025105736,21.76586944635428,3
j2259,442,344.5212778307034,13.932507599797852,25.63689,26.4605,1.33719560704231e-17,42.08130490558485,21.72137685671188,3
j2259,601,344.80643721131247,14.154862487592291,25.401852,26.338678,1.8052221329099344e-17,42.21164061395146,21.688876144132696,3
j2259,7,344.6325214586284,13.414226621998424,25.72973,27.880444,1.9904622860605025e-17,42.25406391768565,21.673343900728742,3
j2259,110,344.7253543681843,13.522049636767152,25.017265,26.557873,3.3736049866865125e-17,42.48320419436575,21.43732857719772,3
j2259,441,345.2677898138081,13.931535968600668,25.243534,26.110544,1.987352605106713e-17,42.25338489284876,21.435860247686584,3
j2259,671,344.9568837126336,14.248963490653622,25.52283,99.0,2.79370360455453e-17,42.40129029255082,21.423977149123942,3
j2259,514,344.739449180338,14.001365909510012,25.130753,26.990202,3.2856146691737606e-17,42.47172659323702,21.417652456226413,3
