field,source_id,RA,Dec,mag_nb,mag_bb,line_flux_erg_cm2_s,logL_Lya_erg_s,area_arcsec2,priority
j0022,135,5.412489553153468,-0.9322740346261884,24.767508,27.250673,5.287108241673462e-17,42.65172064616019,12.605050561119535,2
j0022,427,5.134615422401549,-0.682119199592713,24.983309,27.74285,4.444196215765416e-17,42.5762956696929,11.811601258259392,2
j0022,309,5.5747827605939735,-0.7940323537581933,24.09687,24.996342,6.147572191885026e-17,42.71720608188694,11.601808607326454,2
j0022,86,5.237312891671028,-1.072540631133193,24.79558,26.204195,4.1676281356267604e-17,42.54839140574652,10.997068727463848,2
j0022,133,5.928477559073805,-0.932962015936272,24.633587,25.792957,4.368810922072489e-17,42.56886569372894,10.409014367539502,2
j0022,94,5.494533718577589,-1.060830564664751,25.23415,30.699396,3.803951746295047e-17,42.50873744366833,9.994704518059322,2
j0022,695,5.682874482479225,-0.3876371884680853,24.702902,25.865438,4.1048675866684185e-17,42.54180159682674,9.880550527019077,2
j0022,365,5.633526907097034,-0.7489445809500999,24.05719,25.310207,7.750434410286326e-17,42.817828489766086,9.446270008475874,2
j0022,308,5.258262653333818,-0.796626835751766,24.785988,26.228056,4.2525759939183715e-17,42.5571545276951,6.88638523848874,2
j0022,249,5.222361864023789,-0.8470494943328963,23.499847,24.682291,1.2549221757112312e-16,43.02711923823888,6.7816267683411535,2
j0022,632,5.952763531118886,-0.5305451510350868,24.297386,25.081858,4.668139773445433e-17,42.5976462956732,4.602147607696467,2
j0022,214,5.24410398998565,-0.8678666934263978,24.098152,25.496834,7.895085870834442e-17,42.82585930242964,0.0,2
j0022,200,5.241412213813408,-0.8805178540576944,24.281088,25.572636,6.407460116592886e-17,42.73518835604646,0.0,2
j0022,417,5.959838530897661,-0.6890486633029285,24.139132,24.944086,5.4958894986422076e-17,42.66854043659452,0.0,2
j0022,164,5.343317132378204,-0.9106471760884808,24.397068,25.411098,5.0245600150839216e-17,42.62960048241517,0.0,2
j0022,585,5.938026082427292,-0.5579920175339672,24.481386,25.312416,4.0965246387296004e-17,42.54091801574614,0.0,2
j0022,234,5.18609436635066,-0.8564347573209989,24.623852,25.543503,3.837668369550519e-17,42.51256988711081,0.0,2
j0022,38,5.284089733436427,-1.1163058653600346,24.57419,25.426973,3.825796872437814e-17,42.51122435225176,0.0,2
j0022,577,5.909349113453253,-0.564693016093998,25.095512,26.39338,3.0340151123117105e-17,42.41052018411949,70.53757967457523,3
j0022,237,5.179578282669012,-0.8540796794676996,24.608849,25.428234,3.608597607334688e-17,42.4858409012883,68.16807242212467,3
j0022,610,5.8489048818916896,-0.5401738485974733,24.64662,25.54859,3.711733441491365e-17,42.4980792242244,65.50159794051763,3
j0022,687,5.594916678373975,-0.3926137448281105,25.095097,26.349237,2.981055015534377e-17,42.40287243549455,58.31463225916879,3
j0022,197,5.121685127436602,-0.8829636138624922,25.246563,26.668123,2.763291717044116e-17,42.369929179688974,55.22517461709266,3
j0022,722,5.402210110921968,-0.3672080052681846,24.999857,26.16493,3.126406444923078e-17,42.42354788177432,49.97936643005177,3
j0022,578,6.056168594449408,-0.5635658862959008,25.206223,26.895159,3.0994391554916037e-17,42.4197855596772,47.52226812234053,3
j0022,138,5.308369329488456,-0.930847007421916,25.34677,28.00257,3.152617161625982e-17,42.42717367981623,45.84492330056149,3
j0022,291,5.480759993752562,-0.8112209378267425,24.926859,25.750141,2.7009280137532488e-17,42.36001545380555,44.36775739183227,3
j0022,631,5.810916954791922,-0.5302365573759049,25.137539,25.921598,2.1524183694172577e-17,42.26142913425576,41.58086058954794,3
j0022,157,5.995130740756779,-0.9147311890894704,25.03375,26.060247,2.8159412935274317e-17,42.378126040894365,41.352468756507605,3
j0022,289,5.14412265095841,-0.811712820618979,25.28351,26.258635,2.168403347952521e-17,42.26464251360669,40.80213201044907,3
j0022,598,5.487287139589764,-0.5504322901206447,24.89056,26.070253,3.481547911447784e-17,42.470274820571376,40.54047358048254,3
j0022,43,5.279630451742863,-1.1111037277335094,25.020063,25.904703,2.598783218859505e-17,42.34327249818908,40.42633325660516,3
j0022,220,5.586036614625674,-0.8649756892401818,25.218792,26.768187,2.9513497554696715e-17,42.39852312392538,40.3559920262806,3
j0022,405,5.820078826508227,-0.7026907980701416,25.790985,27.214811,1.6749147737748398e-17,42.152495157789886,39.82091929571082,3
j0022,574,5.737201052900389,-0.5686086158496255,25.511717,26.351885,1.5974863216172168e-17,42.131939592684766,39.22544484066372,3
j0022,510,5.397340838927239,-0.6187065999471433,25.014673,26.503473,3.497225181937146e-17,42.4722260413452,39.08408664774699,3
j0022,387,5.248949049890761,-0.7207992955237678,25.034788,26.6693,3.579670129142727e-17,42.48234545219442,39.033409480046,3
j0022,715,5.622220602458823,-0.3707868209482208,25.414047,26.483557,2.032788839093021e-17,42.23659471204007,39.01287792273416,3
j0022,718,5.388289574547011,-0.369302051870909,25.183052,26.154337,2.372818032457791e-17,42.30376687861874,38.78343807511207,3
