,RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
438,5.349271636499876,-0.6243511194861358,J2026.10,502,T,3,3.2,2.1706547636527345e-17
441,5.111242989570815,-0.8836305452086336,J2026.10,194,T,3,3.2,2.46845809035742e-17
442,5.183640297782091,-0.7867729325326507,J2026.10,317,T,3,3.2,2.137817559175433e-17
444,5.187610274440911,-0.6462305470985515,J2026.10,475,T,3,3.2,1.749039382713141e-17
448,5.174127561695676,-0.6272074482361705,J2026.10,496,T,3,3.2,2.918301090180544e-17
451,5.260252065191496,-0.5262236385036394,J2026.10,636,T,3,3.2,1.5398551917106976e-17
453,5.354754286045763,-0.9198886928849922,J2026.10,147,T,3,3.2,2.2547333846246904e-17
457,5.131286818221132,-0.7210178640693842,J2026.10,386,T,3,3.2,2.53575771921118e-17
460,5.238844132402754,-0.8566437297930014,J2026.10,233,T,3,3.2,1.8138441293558256e-17
462,5.285444512191746,-0.7014642026945291,J2026.10,406,T,3,3.2,2.65518483150365e-17
463,5.349933388650676,-0.879012652677603,J2026.10,202,T,3,3.2,2.05985564875844e-17
467,5.228221806997544,-0.6897680971683878,J2026.10,416,T,3,3.2,1.4931752569388346e-17
472,5.2216248583101645,-0.8467347519344491,J2026.10,248,T,3,3.2,2.726153110707399e-17
478,5.157935353191643,-0.5311826923241579,J2026.10,630,T,3,3.2,1.5821470751906002e-17
479,5.114159411792926,-0.6916244556760233,J2026.10,413,T,3,3.2,1.7723293536647798e-17
481,5.193691993370262,-0.6550564991556727,J2026.10,463,T,3,3.2,2.1897347601189748e-17
489,5.40621724037707,-0.6384053660273341,J2026.10,490,T,3,3.2,2.178876813192668e-17
490,5.11926942125064,-0.6157568088985831,J2026.10,512,T,3,3.2,2.2955734119542506e-17
500,5.1440787003621375,-0.9161215352542136,J2026.10,154,T,3,3.2,1.7617783611705533e-17
502,5.216942808397798,-0.6021246260405165,J2026.10,530,T,3,3.2,1.6976807444934716e-17
505,5.142874385642105,-0.8100652258813165,J2026.10,292,T,3,3.2,1.6846367357592268e-17
508,5.38733138067298,-0.5441074931296743,J2026.10,605,T,3,3.2,2.9296265592871264e-17
510,5.185879753177744,-0.5776958392660186,J2026.10,565,T,3,3.2,2.1747043008921905e-17
515,5.26128528867013,-0.5545397441866218,J2026.10,592,T,3,3.2,1.482429094127704e-17
517,5.381535400599078,-0.5326720164214623,J2026.10,627,T,3,3.2,1.7906878179902518e-17
519,5.132463056592602,-0.6782350529662704,J2026.10,433,T,3,3.2,1.9566892566794253e-17
520,5.265588613694679,-0.8526858906156074,J2026.10,238,T,3,3.2,1.426134878319499e-17
522,5.113040090018339,-0.7872226337684296,J2026.10,316,T,3,3.2,1.43158738484634e-17
523,5.142502721158785,-0.8152476537493601,J2026.10,286,T,3,3.2,2.0356789441239437e-17
524,5.307466715903997,-0.6473549728732085,J2026.10,473,T,3,3.2,2.779080031716517e-17
527,5.462879587485489,-0.7038890066482165,J2026.10,402,T,3,3.2,1.7866491054639313e-17
528,5.327072774450218,-0.6538560235006344,J2026.10,465,T,3,3.2,3.408982788513908e-17
530,5.223712613268274,-0.6760163875838971,J2026.10,435,T,3,3.2,1.5116280289418544e-17
531,5.301501788037135,-0.6029012111387513,J2026.10,529,T,3,3.2,2.202262573718407e-17
533,5.140905599115439,-0.890384738379782,J2026.10,185,T,3,3.2,2.4791644467416788e-17
536,5.268644207159437,-0.534030765899337,J2026.10,624,T,3,3.2,2.077041338639096e-17
537,5.3663089668545965,-0.9131309401196576,J2026.10,160,T,3,3.2,3.5207596734751246e-17
538,5.358933775335676,-0.8243714144914306,J2026.10,275,T,3,3.2,1.7553038978045628e-17
541,5.238267656702185,-0.933599583423854,J2026.10,132,T,3,3.2,2.625367960963943e-17
543,5.151886425201294,-0.5543268717898547,J2026.10,594,T,3,3.2,1.6835318632939788e-17
545,5.272648247247994,-0.93873599427023,J2026.10,130,T,3,3.2,2.2557505519626745e-17
548,5.471641957845981,-0.6824842380658551,J2026.10,426,T,3,3.2,2.0438312881273856e-17
552,5.44652310870694,-0.6399332065759656,J2026.10,486,T,3,3.2,3.158028297567083e-17
553,5.46089542060963,-0.7305755589964997,J2026.10,379,T,3,3.2,1.972740272251801e-17
556,5.161525336006725,-0.7045038474336319,J2026.10,400,T,3,3.2,2.753769229508457e-17
562,5.3345427328970745,-0.6223455048654104,J2026.10,504,T,3,3.2,2.3286275892162648e-17
567,5.223188441287423,-0.8272526471896158,J2026.10,272,T,3,3.2,3.2095113934344257e-17
569,5.355090489015643,-0.622669127295159,J2026.10,503,T,3,3.2,2.2960207919945648e-17
571,5.222036426264268,-0.5362406745981197,J2026.10,616,T,3,3.2,1.4369202665251706e-17
572,5.187531585569019,-0.6666396138856434,J2026.10,451,T,3,3.2,1.6744900888617498e-17
574,5.139938572452421,-0.8585767809546444,J2026.10,227,T,3,3.2,2.110815217371353e-17
578,5.29026933662219,-0.5279674738119738,J2026.10,635,T,3,3.2,1.4391389445210797e-17
580,5.191090044836086,-0.5912839990601825,J2026.10,543,T,3,3.2,1.7582675076048952e-17
581,5.152383711959988,-0.6677338223346978,J2026.10,450,T,3,3.2,1.4490116816860846e-17
583,5.119693088543448,-0.9087811849137524,J2026.10,165,T,3,3.2,1.940673035460335e-17
590,5.191850067424404,-0.8448160551040965,J2026.10,253,T,3,3.2,1.995559143006768e-17
597,5.140077451930597,-0.6087808024124554,J2026.10,520,T,3,3.2,2.0541221709004944e-17
598,5.165205162244951,-0.5828088932203033,J2026.10,557,T,3,3.2,2.236136691599524e-17
606,5.159031881895824,-0.7670666752547048,J2026.10,345,T,3,3.2,3.419704299109956e-17
608,5.285059661209127,-0.8289957948373362,J2026.10,267,T,3,3.2,3.1633876777585003e-17
609,5.1411296644433895,-0.8436930283635526,J2026.10,255,T,3,3.2,2.99875255123656e-17
614,5.390532541683476,-0.5321516889550147,J2026.10,628,T,3,3.2,3.21014833169608e-17
616,5.339414326865121,-0.8237363711164404,J2026.10,277,T,3,3.2,1.4310570713576742e-17
621,5.267557018463264,-0.8683023023059049,J2026.10,211,T,3,3.2,1.5443234350468898e-17
622,5.193880809857448,-0.6707223736162075,J2026.10,440,T,3,3.2,1.5210513480016338e-17
624,5.1394410883453485,-0.6015748198690154,J2026.10,531,T,3,3.2,2.0277963332957025e-17
627,5.133436329623601,-0.5832616437200259,J2026.10,558,T,3,3.2,2.6697469370858188e-17
629,5.165238583503167,-0.9043984476263016,J2026.10,173,T,3,3.2,1.4512307917521682e-17
632,5.240136764794381,-0.8510480483342705,J2026.10,242,T,3,3.2,2.0142332653616066e-17
633,5.184101344627374,-0.5879862386955507,J2026.10,549,T,3,3.2,2.5474732994164666e-17
635,5.388206033806483,-0.828539445903328,J2026.10,269,T,3,3.2,2.4999216679123602e-17
638,5.167136429286522,-0.6512047727143109,J2026.10,470,T,3,3.2,1.4717979373539232e-17
640,5.184644650598585,-0.8679802700498687,J2026.10,213,T,3,3.2,1.6809755599806534e-17
641,5.142345738946272,-0.7610070715308429,J2026.10,350,T,3,3.2,1.6848588439776465e-17
646,5.266450654267484,-0.8009237309439479,J2026.10,302,T,3,3.2,1.842274754359517e-17
648,5.150425632011558,-0.6851066580561429,J2026.10,423,T,3,3.2,2.3664907243585018e-17
653,5.22127682661125,-0.9418843477620944,J2026.10,126,T,3,3.2,1.5098275273546437e-17
655,5.179409017890969,-0.7819068078078789,J2026.10,323,T,3,3.2,1.5006224164866598e-17
663,5.262110147993544,-0.8341139633441282,J2026.10,259,T,3,3.2,2.146533242192893e-17
