RA,Dec,Epoch,source_id,Type,priority,Redshift,line_flux_erg_cm2_s
345.2961828432876,13.861666510354882,J2026.10,382,T,3,3.12,1.634636607843562e-17
344.9484700213832,13.671064967071782,J2026.10,183,T,3,3.12,2.7478314596736388e-17
345.2323713615968,13.686638748405546,J2026.10,207,T,3,3.12,2.171840460553726e-17
345.1758744362712,13.803755970341768,J2026.10,338,T,3,3.12,1.527410456985061e-17
345.2466892695027,13.789663935498885,J2026.10,321,T,3,3.12,2.1621389547489158e-17
345.1437443533838,13.722948909155704,J2026.10,254,T,3,3.12,2.085372035954969e-17
344.91516337076007,13.915699249236052,J2026.10,420,T,3,3.12,1.6357703358621092e-17
344.8182235801364,13.755372863501435,J2026.10,282,T,3,3.12,2.3927185000147384e-17
344.966151879544,13.798613986106387,J2026.10,334,T,3,3.12,1.3014028509785754e-17
344.910136270635,13.831034752363204,J2026.10,364,T,3,3.12,2.1335852632599685e-17
344.90769073904414,13.642618246523725,J2026.10,148,T,3,3.12,2.320129496047547e-17
345.1982853184018,13.674850449637065,J2026.10,191,T,3,3.12,2.4009154596378284e-17
345.1857125871927,13.699622370278457,J2026.10,224,T,3,3.12,1.3232680967315405e-17
345.2053281883957,13.722468495703618,J2026.10,253,T,3,3.12,1.4794526699958018e-17
345.1652933322706,14.02240860516871,J2026.10,543,T,3,3.12,1.530358626909805e-17
345.07765233335584,13.642644292846256,J2026.10,152,T,3,3.12,1.4735301061721765e-17
345.2113180353008,13.894704242115958,J2026.10,406,T,3,3.12,1.302715302169856e-17
344.9007752040411,14.011623038717032,J2026.10,529,T,3,3.12,1.259968945519796e-17
345.2004148634317,14.034048390564864,J2026.10,561,T,3,3.12,1.504716456512591e-17
345.07691768859667,13.694428880653703,J2026.10,220,T,3,3.12,2.7315481638478558e-17
345.2348326201809,13.680064361115209,J2026.10,199,T,3,3.12,1.2564132537966493e-17
344.9639819792632,14.03155419030229,J2026.10,556,T,3,3.12,2.6499883080947328e-17
345.1433165072141,13.645072488926695,J2026.10,153,T,3,3.12,2.2853993496810498e-17
345.09773413947534,13.889757805072303,J2026.10,401,T,3,3.12,1.2438770694391765e-17
345.1514832006683,13.679556710513692,J2026.10,198,T,3,3.12,1.464876470945162e-17
344.84200400861107,13.922866867753369,J2026.10,425,T,3,3.12,3.387885609517884e-17
344.9638141274032,14.011920218916131,J2026.10,530,T,3,3.12,3.117532164014568e-17
344.9740125535637,13.99976628814665,J2026.10,510,T,3,3.12,3.096667586736954e-17
344.9104993078284,13.805838990072267,J2026.10,342,T,3,3.12,3.0525102769898516e-17
344.89978267117493,13.718632659009748,J2026.10,248,T,3,3.12,2.5685609818387746e-17
345.2821979848489,13.841907381778626,J2026.10,373,T,3,3.12,2.5684092171881058e-17
344.8705850744544,13.837170048826952,J2026.10,369,T,3,3.12,2.2809201951618202e-17
345.2574439114088,13.713475078115367,J2026.10,240,T,3,3.12,2.040969193047739e-17
345.0783232350137,13.76230483040418,J2026.10,288,T,3,3.12,1.7761905935514597e-17
345.2578484481531,13.924152358802187,J2026.10,429,T,3,3.12,1.4734936549463928e-17
344.9234059388496,13.677839868854475,J2026.10,195,T,3,3.12,1.4493062253112498e-17
345.2840238102661,13.924014953273876,J2026.10,428,T,3,3.12,1.361528609392179e-17
345.13299024465766,13.696324030360586,J2026.10,221,T,3,3.12,1.3557084141239769e-17
